deal_row_id,deal_owner_name,source,campaign,product,payment_type,created_time_dt,closing_date_dt,lag_days,revenue_cash,revenue_contract
20524,Julia Nelson,Facebook Ads,03.07.23women,Digital Marketing,One Payment,2023-08-14 01:12:00,2024-06-14,304.95,1000.0,11000.0
19193,Charlie Davis,Google Ads,performancemax_digitalmarkt_ru_DE,Digital Marketing,,2023-09-22 14:57:00,2024-05-28,248.37708333333333,1000.0,11500.0
17789,Victor Barnes,Facebook Ads,03.07.23women,UX/UI Design,Recurring Payments,2023-10-20 12:07:00,2024-06-07,230.4951388888889,300.0,4000.0
18078,Nina Scott,Facebook Ads,02.07.23wide_DE,Digital Marketing,,2023-10-14 11:23:00,2024-05-16,214.52569444444444,1000.0,11000.0
20322,Charlie Davis,Facebook Ads,02.07.23wide_DE,Digital Marketing,Recurring Payments,2023-08-20 09:09:00,2024-03-21,213.61875,300.0,4000.0
20857,Oliver Taylor,Facebook Ads,07.07.23LAL_DE,Digital Marketing,,2023-08-03 14:11:00,2024-02-22,202.40902777777777,1000.0,11000.0
18845,Charlie Davis,Facebook Ads,03.07.23women,Digital Marketing,Recurring Payments,2023-09-29 15:23:00,2024-04-15,198.35902777777778,300.0,4000.0
19902,Quincy Vincent,Facebook Ads,02.07.23wide_DE,Digital Marketing,,2023-08-29 13:22:00,2024-03-12,195.44305555555556,1000.0,11000.0
19255,Julia Nelson,Bloggers,mu_DE,Digital Marketing,,2023-09-21 08:37:00,2024-03-21,181.64097222222222,1000.0,11000.0
15444,Charlie Davis,Tiktok Ads,12.07.2023wide_DE,Web Developer,,2023-11-25 11:16:00,2024-05-23,179.53055555555557,1000.0,5000.0
14488,Victor Barnes,Bloggers,,Digital Marketing,One Payment,2023-12-12 07:11:00,2024-06-06,176.70069444444445,1000.0,11000.0
19771,Ulysses Adams,Facebook Ads,02.07.23wide_DE,Digital Marketing,,2023-09-04 21:28:00,2024-02-27,175.10555555555555,1000.0,11000.0
14051,Nina Scott,Facebook Ads,02.07.23wide_DE,Digital Marketing,,2023-12-18 00:54:00,2024-06-06,170.9625,1000.0,11000.0
15224,John Doe,Organic,,,One Payment,2023-12-01 07:51:00,2024-05-01,151.67291666666668,0.0,0.0
11948,Victor Barnes,Youtube Ads,youtube_shorts_DE,Digital Marketing,,2024-01-22 16:55:00,2024-06-20,149.29513888888889,1000.0,11000.0
17133,Julia Nelson,Bloggers,,Digital Marketing,Recurring Payments,2023-11-01 17:44:00,2024-03-28,147.26111111111112,300.0,4000.0
14024,Victor Barnes,Google Ads,performancemax_digitalmarkt_ru_DE,Digital Marketing,,2023-12-18 18:22:00,2024-05-14,147.23472222222222,1000.0,11000.0
18883,Ulysses Adams,Google Ads,brand_search_eng_DE,UX/UI Design,Recurring Payments,2023-09-28 22:57:00,2024-02-19,143.04375,300.0,4000.0
16475,Nina Scott,Google Ads,performancemax_digitalmarkt_ru_DE,Web Developer,,2023-11-14 22:50:00,2024-04-05,142.04861111111111,1000.0,5000.0
14991,Paula Underwood,Youtube Ads,youtube_shorts_DE,Web Developer,,2023-12-06 16:26:00,2024-04-23,138.31527777777777,1000.0,5000.0
11767,Paula Underwood,Google Ads,performancemax_digitalmarkt_ru_DE,Digital Marketing,,2024-01-24 19:01:00,2024-06-11,138.20763888888888,1000.0,11000.0
19420,Julia Nelson,Facebook Ads,15.07.23b_DE,Digital Marketing,Recurring Payments,2023-09-16 22:31:00,2024-01-31,136.06180555555557,1000.0,11000.0
12498,Ulysses Adams,Telegram posts,ASA_de_DE,UX/UI Design,,2024-01-15 20:05:00,2024-05-30,135.16319444444446,1000.0,11000.0
14061,Quincy Vincent,Google Ads,Dis_DE,UX/UI Design,,2023-12-17 22:19:00,2024-04-29,133.0701388888889,1000.0,11000.0
14672,Julia Nelson,Tiktok Ads,12.07.2023wide_DE,UX/UI Design,Recurring Payments,2023-12-09 22:23:00,2024-04-14,126.06736111111111,300.0,3000.0
16790,Charlie Davis,Facebook Ads,03.07.23women,Web Developer,,2023-11-08 05:30:00,2024-03-11,123.77083333333333,1000.0,5000.0
15214,Paula Underwood,Tiktok Ads,12.07.2023wide_DE,Digital Marketing,Recurring Payments,2023-12-01 12:59:00,2024-04-03,123.45902777777778,300.0,4000.0
15624,Ulysses Adams,Webinar,,Digital Marketing,Recurring Payments,2023-11-22 15:05:00,2024-03-24,122.37152777777777,300.0,4000.0
13863,Ulysses Adams,Facebook Ads,02.07.23wide_DE,Digital Marketing,,2023-12-21 08:52:00,2024-04-18,118.63055555555556,1000.0,11000.0
9641,Ben Hall,Facebook Ads,12.09.23interests_Uxui_DE,Digital Marketing,One Payment,2024-02-21 16:38:00,2024-06-15,114.30694444444444,4000.0,4000.0
11924,Julia Nelson,SMM,,Web Developer,Recurring Payments,2024-01-22 20:24:00,2024-05-16,114.15,500.0,2500.0
15587,Ulysses Adams,Webinar,web2211_DE,Digital Marketing,Recurring Payments,2023-11-22 20:05:00,2024-03-15,113.16319444444444,300.0,4000.0
15089,Paula Underwood,Tiktok Ads,12.07.2023wide_DE,Digital Marketing,,2023-12-04 22:25:00,2024-03-26,112.06597222222223,1000.0,11000.0
11154,Paula Underwood,SMM,,Web Developer,,2024-02-01 11:50:00,2024-05-23,111.50694444444444,1000.0,5000.0
16501,Julia Nelson,Organic,,UX/UI Design,,2023-11-14 19:17:00,2024-03-05,111.19652777777777,1000.0,11000.0
13857,Ulysses Adams,Facebook Ads,07.07.23LAL_DE,UX/UI Design,,2023-12-21 12:02:00,2024-04-10,110.49861111111112,1000.0,11000.0
12090,Charlie Davis,Google Ads,performancemax_digitalmarkt_ru_DE,UX/UI Design,,2024-01-20 01:04:00,2024-05-07,107.95555555555555,1000.0,11500.0
12657,Nina Scott,Facebook Ads,12.09.23interests_Uxui_DE,UX/UI Design,Recurring Payments,2024-01-13 12:06:00,2024-04-30,107.49583333333334,300.0,4000.0
19299,Ulysses Adams,Google Ads,performancemax_digitalmarkt_ru_DE,Digital Marketing,One Payment,2023-09-20 15:35:00,2024-01-05,106.35069444444444,2000.0,3500.0
20941,Jane Smith,Facebook Ads,03.07.23women,Digital Marketing,,2023-07-31 19:33:00,2023-11-15,106.18541666666667,1000.0,11500.0
17804,Charlie Davis,Facebook Ads,15.07.23b_DE,Digital Marketing,One Payment,2023-10-19 22:27:00,2024-02-02,105.06458333333333,,3500.0
15538,Oliver Taylor,Google Ads,Dis_DE,Digital Marketing,Recurring Payments,2023-11-23 13:03:00,2024-03-05,102.45625,200.0,2500.0
13548,Nina Scott,SMM,,UX/UI Design,One Payment,2023-12-27 14:39:00,2024-04-04,98.38958333333333,2000.0,3000.0
9115,Charlie Davis,Webinar,,Digital Marketing,,2024-02-27 21:18:00,2024-06-03,96.1125,1000.0,11500.0
12733,Quincy Vincent,Organic,,Web Developer,,2024-01-12 12:50:00,2024-04-15,93.46527777777777,1000.0,5000.0
12012,Ulysses Adams,Telegram posts,work_DE,Digital Marketing,,2024-01-21 15:24:00,2024-04-24,93.35833333333333,1000.0,11000.0
